试题id,试题类型,题目描述（最多86个汉字）,答案选项（最多5个汉字）,正确答案(填写正确答案的位置),题目倒计时,正确奖励1,正确奖励2,正确奖励3,正确奖励4,正确奖励5,正确奖励6（不要填，会挡住下一题按钮）,错误奖励1,错误奖励2,错误奖励3,错误奖励4,错误奖励5,错误奖励6
id,nType,nDesc,nAnswer,nRightAnswer,nCountDown,nReward1,nReward2,nReward3,nReward4,nReward5,nReward6,nRewardError1,nRewardError2,nRewardError3,nRewardError4,nRewardError5,nRewardError6
int,int,string,string,int,int,string,string,string,string,string,string,string,string,string,string,string,string
359,2,"暗香疏影""这句成语是形容哪种花的香味和姿态？",桂花|桃花|菊花|梅花,4,20,103|21|10,,,,,,103|21|5,,,,,
360,2,"中国古代""双手抱拳举过头顶,鞠躬"",这是什么拜礼？",特揖|跪拜|天揖|长揖,4,20,103|21|10,,,,,,103|21|5,,,,,
361,2,"贞观之治""是由唐朝的哪个皇帝开创的？",唐玄奘|唐玄宗|唐高宗|唐太宗,4,20,103|21|10,,,,,,103|21|5,,,,,
362,2,"曹操晚年已居魏王，孙权上表劝其称帝，群臣也随之附和，曹操笑着说，""苟天命在孤，孤为____矣""。",魏王|周武王|周幽王|周文王,4,20,103|21|10,,,,,,103|21|5,,,,,
363,3,诸葛亮舌战群儒发生在何处？,豫州|成都|柴桑城|樊城,3,10,103|21|10,,,,,,103|21|5,,,,,
364,3,人有它大，天没它大，猜一个字。,一|二|丶|太,1,10,103|21|10,,,,,,103|21|5,,,,,
365,3,刘备和张飞被曹操击败后失散，曹操收复徐州，进而进攻下邳。程昱设计调关公出城将其困在土山之上，____亲自上山晓以利害，将其招降。,曹仁|曹操|郭嘉|张辽,4,10,103|21|10,,,,,,103|21|5,,,,,
366,3,什么样的游戏日常行为能结交到更多的朋友？,沉默寡言|单打独斗|言语粗鲁|文明交流,4,10,103|21|10,,,,,,103|21|5,,,,,
367,3,烤乳猪是哪个菜系的代表菜？,湘菜|卤菜|川菜|粤菜,4,10,103|21|10,,,,,,103|21|5,,,,,
368,3,古典小说《水浒传》的作者是：,罗贯中|曹雪芹|吴承恩|施耐庵,4,10,103|21|10,,,,,,103|21|5,,,,,
369,3,"乌台诗案""的受害人是：",王安石|李白|杜甫|苏轼,4,10,103|21|10,,,,,,103|21|5,,,,,
370,3,"我住长江头，君住长江尾，夜夜思君不见君，共饮长江水""是谁的词？",李尔王|李清照|李寻欢|李之仪,4,10,103|21|10,,,,,,103|21|5,,,,,
371,3,"天下兴亡，匹夫有责""是谁提出的？",鲁迅|朱自清|王阳明|顾炎武,4,10,103|21|10,,,,,,103|21|5,,,,,
372,3,《四世同堂》为我国著名作家老舍先生所著。该书创作于20世纪多少年代？,70年代|50年代|60年代|40年代,4,10,103|21|10,,,,,,103|21|5,,,,,
373,3,"珍珠翡翠白玉汤""是：",昆曲|评书|小说|传统相声,4,10,103|21|10,,,,,,103|21|5,,,,,
374,3,承德避暑山庄是规模宏大的皇家园林，建于1703—1792年。它位于我国哪个省？,浙江|河南|山东|河北,4,10,103|21|10,,,,,,103|21|5,,,,,
375,3,"泥鳅钻豆腐""的传说与哪一位美人有关？",杨玉环|西施|王昭君|貂蝉,4,10,103|21|10,,,,,,103|21|5,,,,,
376,3,曹操晚年，威福日盛。文臣（）看准时机，领衔上表劝其进任魏公，加九锡，但曹操最得力的谋臣荀彧坚决反对，并因此病逝。,郭嘉|董卓|董永|董昭,4,10,103|21|10,,,,,,103|21|5,,,,,
377,3,古人主要是利用物理学中的什么原理建成金字塔的？,万有引力|杠杆原理|动量守恒|质能守恒,2,10,103|21|10,,,,,,103|21|5,,,,,
378,3,属于儒家思想的是：,智者见智|仁者爱人|令行禁止|依法治国,2,10,103|21|10,,,,,,103|21|5,,,,,
379,3,我国的四大名鱼之一的鲈鱼产于哪里？,洞庭湖|松江|鄱阳湖|湛江,2,10,103|21|10,,,,,,103|21|5,,,,,
380,3,下列食物中，曾经被作为成吉思汗大军的军粮的是哪个？,马肉干|牛肉干|白面饼|小米粥,2,10,103|21|10,,,,,,103|21|5,,,,,
381,3,"李白的""朝辞白帝彩云间""中的白帝城现在属于重庆哪个县？ ",涪陵|奉节|万州|巫山,2,10,103|21|10,,,,,,103|21|5,,,,,
382,3,我国最大的佛像是哪一座？,灵山大佛|乐山大佛|蒙山大佛|巴米扬大佛,2,10,103|21|10,,,,,,103|21|5,,,,,
383,3,"我国的""冰城""是指哪一城市？",长春|哈尔滨|沈阳|昆明,2,10,103|21|10,,,,,,103|21|5,,,,,
384,3,一天中什么时候最冷？,日落前后|日出前后|正午|子时,2,10,103|21|10,,,,,,103|21|5,,,,,
385,3,庄子是哪个学派的代表？,儒家|道家|法家|阴阳家,2,10,103|21|10,,,,,,103|21|5,,,,,
386,3,齐宣王最爱听多少人吹竽？,500|300|800|1000,2,10,103|21|10,,,,,,103|21|5,,,,,
387,3,贯穿南北的京杭大运河是哪个朝代修建的？,唐朝|隋朝|东汉末年|明末清初,2,10,103|21|10,,,,,,103|21|5,,,,,
388,3,日食只可能发生在农历的什么日？,晦日|朔日|望日|既望,2,10,103|21|10,,,,,,103|21|5,,,,,
389,3,茶叶分为绿茶、红茶、乌龙茶的依据是什么？,茶的颜色|制作工艺|添加剂种类|染的颜色,2,10,103|21|10,,,,,,103|21|5,,,,,
390,3,"过五关斩六将""的是《三国演义》中的",赵云|关羽|马超|黄忠,2,10,103|21|10,,,,,,103|21|5,,,,,
391,3,传统中正月十五人们吃什么来庆祝？,春卷|粽子|元宵|猪肉,3,10,103|21|10,,,,,,103|21|5,,,,,
392,3,下列哪一座寺院位于南京市？,灵隐寺|少林寺|栖霞寺|寒山寺,3,10,103|21|10,,,,,,103|21|5,,,,,
393,3,《道德经》的作者是？,庄子|孟子|老子|荀子,3,10,103|21|10,,,,,,103|21|5,,,,,
394,3,袁曹大战之初，袁绍军依审配计策，造土山，居高临下射杀曹营。曹操的谋士刘晔献计，制造____，大破袁军。,木牛流马|诸葛连弩|发石车|云梯,3,10,103|21|10,,,,,,103|21|5,,,,,
395,3,"跬步千里""中""跬步""指:",十步|一步|半步|三步,3,10,103|21|10,,,,,,103|21|5,,,,,
396,3,"黄山""四绝""中尤以什么最为著名？",日出|云海|迎客松|怪石,3,10,103|21|10,,,,,,103|21|5,,,,,
397,3,"少林寺周围俱是密密匝匝的树林，所以得名""少林寺""，意为""深藏于（）山下密林中的寺院""。 ",峨眉|青城|少室|九华,3,10,103|21|10,,,,,,103|21|5,,,,,
398,3,三不粘是中国的一道传统美食，味道微甜。它的特别就在这不粘二字上，即不粘牙、不粘筷子、不粘盘子，你知道三不粘的主料是以下哪一种吗？,米粉|面粉|鸡蛋|芋头,3,10,103|21|10,,,,,,103|21|5,,,,,
399,3,碧螺春产于？,福建永春|安徽芜湖|江苏太湖|云南昆明,3,10,103|21|10,,,,,,103|21|5,,,,,
400,3,故宫建成于哪个朝代？,东汉末年|清|明|秦,3,10,103|21|10,,,,,,103|21|5,,,,,
401,3,"夕阳无限好,只是近黄昏""是谁的诗句？",杜甫|李白|李商隐|杜牧,3,10,103|21|10,,,,,,103|21|5,,,,,
402,3,我国著名的六朝古都是：,成都|西安|南京|洛阳,3,10,103|21|10,,,,,,103|21|5,,,,,
403,3,"相敬如宾""最初是指什么人之间相互尊敬的样子？",兄弟|兄妹|夫妻|父女,3,10,103|21|10,,,,,,103|21|5,,,,,
404,3,"俗话说""天上龙肉，地上什么肉""？",驴肉|马肉|小龙虾|鸭肉,1,10,103|21|10,,,,,,103|21|5,,,,,
405,3,江南才子唐寅是哪里人士？,苏州|柳州|冀州|幽州,1,10,103|21|10,,,,,,103|21|5,,,,,
406,3,袁曹大战之时，曹操收降了袁绍手下大将（），此人智勇双全，为五大名将之一，日后长期活跃于魏蜀战争中，连诸葛亮都谓之心腹大患。,司马懿|张郃|郭嘉|贾诩,2,10,103|21|10,,,,,,103|21|5,,,,,
407,3,中国古代名医华佗为谁所杀？,孙权|曹操|刘备|许褚,2,10,103|21|10,,,,,,103|21|5,,,,,
408,3,"天子门生""是宋代以后人们对以下哪种人的称呼？",状元|进士|探花|榜眼,2,10,103|21|10,,,,,,103|21|5,,,,,
409,3,孔子的故乡是:,青岛|曲阜|潍坊|临沂,2,10,103|21|10,,,,,,103|21|5,,,,,
410,3,甲骨文大都是写在什么上面的？,鱼骨|象骨|龟骨|猪骨,3,10,103|21|10,,,,,,103|21|5,,,,,
411,3,"人间四月芳菲尽，山寺桃花始盛开。""描述的是哪里的景色？ ",嵩山|黄山|庐山|青城山,3,10,103|21|10,,,,,,103|21|5,,,,,
412,3,按照传统的干支纪年，2010年是农历()年？,庚丑|甲子|庚寅|庚卯,3,10,103|21|10,,,,,,103|21|5,,,,,
413,3,"战国时提出""民为贵"",""君为轻""的思想家是 ：",荀子|孔子|孟子|竖子,3,10,103|21|10,,,,,,103|21|5,,,,,
414,3,陕西乾陵武则天墓碑上有几个字：,两个字|一个字|无一字|三个字,3,10,103|21|10,,,,,,103|21|5,,,,,
415,3,东岳指的是？,华山|嵩山|泰山|衡山,3,10,103|21|10,,,,,,103|21|5,,,,,
416,3,"古代钱的单位""贯""是多少？",十枚铜钱|百枚铜钱|千枚铜钱|五百枚铜钱,3,10,103|21|10,,,,,,103|21|5,,,,,
417,3,端午节吃粽子跟下面哪个历史人物有关？,刘邦|项羽|屈原|樊哙,3,10,103|21|10,,,,,,103|21|5,,,,,
418,3,《清明上河图》的作者是谁？,齐白石|阎立本|张择端|吴道子,3,10,103|21|10,,,,,,103|21|5,,,,,
419,3,"宫保鸡丁""中""宫保""是指:",外号|人名|官名|地名,3,10,103|21|10,,,,,,103|21|5,,,,,
420,3,《西游记》的主人公唐僧玄奘历史上确有其人，玄奘，俗姓（），名袆，13岁出家为僧，玄奘是他的法号。,张|李|陈|王,3,10,103|21|10,,,,,,103|21|5,,,,,
421,3,秦分天下为三十六郡。今天的江苏属于？,巨鹿郡|邯郸郡|会稽郡|九江郡,3,10,103|21|10,,,,,,103|21|5,,,,,
422,3,刘备进位汉中王，曹操联合孙权共同图谋荆州，刘备令关羽北上攻取了襄阳，曹仁被困。曹操令大将于禁统帅七路人马来救，副将____更以棺木同行，表明决心。,关羽 |庞统|庞德|荀彧,3,10,103|21|10,,,,,,103|21|5,,,,,
423,3,悲剧《窦娥冤》是谁所著？,关云长|关羽|关汉卿|关之琳,3,10,103|21|10,,,,,,103|21|5,,,,,
424,3,"管辂精通相术，他算出""三八纵横，黄猪遇虎;定军之南，伤折一股""，结果在不久后的汉中争夺战中，曹操的大将____在定军山被黄忠所败阵亡。",许褚|张辽|夏侯渊|于禁,3,10,103|21|10,,,,,,103|21|5,,,,,
425,3,"赤壁战后，刘备数年间占有荆州，曹操大惊，遂用程昱之计，封周瑜为荆州的（）太守，意欲孙刘相争，结果导致周瑜病发逝世，东吴""天下二分""之记搁浅。",东郡|北郡|南郡|西郡,3,10,103|21|10,,,,,,103|21|5,,,,,
426,3,关云长水淹七军，威震华夏，但孙权断然毁盟，袭取了荆州后方，关羽在前线沔水又遭曹操大将____击败，只好退守麦城，并最终为东吴所杀。,夏侯渊|张辽|徐晃|许褚,3,10,103|21|10,,,,,,103|21|5,,,,,
427,3,中国最早的纸币叫什么？,铜钱|白银|交子|会子,3,10,103|21|10,,,,,,103|21|5,,,,,
428,3,西汉王朝的第一个皇帝是？,刘备|刘表|刘邦|刘玄德,3,10,103|21|10,,,,,,103|21|5,,,,,
429,3,"蓬荜生辉""一词中的""蓬""原指房子的什么？",茅草|窗|门|床,3,10,103|21|10,,,,,,103|21|5,,,,,
430,3,南岳指的是？,恒山|嵩山|衡山|泰山,3,10,103|21|10,,,,,,103|21|5,,,,,
431,3,"谁首创了大写金额字""壹,贰….",朱自清|秦始皇| 朱元璋|刘邦,3,10,103|21|10,,,,,,103|21|5,,,,,
432,3,围棋棋盘有几个交叉点？,360个|365个|364个|361个,4,10,103|21|10,,,,,,103|21|5,,,,,
